影	picture/image/reflection/shadow	yǐng
埕	earthen jar	chéng
绋	heavy rope/rope of a bier	fú
洫		xù
黴		méi
詞		cí
翛		xiāo
螗	(cicada)	táng
訙		xùn
鉤		gōu
柁	main beam of roof	tuó
魚		yú
螵	nest of eggs of mantis	piāo
臏		bìn
綱		gāng
膦	phosphine	lìn
洧	name of a river	wěi
邡	name of a district in Sichuan	fāng
臑		nào
殪	exterminate	yì
疰		zhù
臺		tái
讝		zhán
鹟		wēng
麹		qū
輾		niǎn
竇		dòu
筘	(a measure of width of cloth)	kòu
閶		chāng
硚		qiáo
詩		shī
蘆		lú
庳	low-built house	bì
貞		zhēn
蔂		léi
糷		làn
贏		yíng
笭		líng
薿		nǐ
瞓		fěn
騻		shuāng
齧		niè
讬		tuō
講		jiǎng
氍	woolen rug	qú
箅		bì
靹		nà
蕚		è
鶕		ān
訴		sù
缊		wēn
闉		yīn
蔟	collect/frame for silk worm/nest	cù
裏		lǐ
黪	grey black	cǎn
瘊	wart	hóu
蜏		yǒu
蓏		luǒ
鈩		lú
䴗		
絪		yīn
镮		huán
躔	course of stars/follow precedent	chán
葴		qián
遯		dùn
賸		shèng
睏		kùn
粡		tóng
跡		jì
踡		juǎn
苾		bì
稟		bǐng
遞		dì
錏		yā
鰉		huáng
麤		cū
趕		gǎn
齸		yì
齻		diān
揞		ǎn
賣		mài
韰		xiè
穉		tí
禎		zhēn
硁		kēng
酇		zàn
觱		bì
軍		jūn
泖	still water	mǎo
脭		chéng
菍		niè
穪		bié
氕	protium	piē
羑		yǒu
钃		zhú
腄		hóu
莾		mǎng
禋		yīn
祼		guàn
頁		yè
秬		jù
䜩		
邿		shī
鲪		jūn
薳		wěi
绹		táo
讚		zàn
蔸		dōu
荅		dá
跂		qí
耩	to plough/to sow	jiǎng
釙		pō
袩		zhé
麚		jiā
靺		wà
舲		líng
篩		shāi
礦		kuàng
鼶		sī
诐		bì
讞		yàn
鉄		zhí
鞨		hé
饘		zhān
痦	(flat) mole	wù
蕡		fèi
錆		qiāng
藞		lǎ
犋		jù
骯		āng
鐓		duì
瘅	(disease), to hate	dān/dàn
鈨		yuán
筦		guǎn
閣		gé
跼		qú
靉		ài
穈		mén
訒		rèn
葙	Celosia argentea	xiāng
眵	gritty secretion in eyes	chī
蛚		liè
篂		xīng
鳆	Haliotis gigantea/sea ear	fù
蘭		lán
盇		hé
醊		zhuì
蓴		tuán
靿		yào
閃		shǎn
邆		téng
眫		pàn
閷		shā
頉		yí
鴿		gē
跍		kū
眎		shì
駰		yīn
翉		běn
臒		qú
窋		kū
糀		huā
雮		mù
馂		jùn
挢	correct	jiǎo
蔦		niǎo
酎	strong wine	zhòu
軓		fàn
谉		shěn
胲	hydroxylamine	hǎi
簰		pái
麗		lì
刭	cut the throat	jǐng
麕		jūn
髤		xiū
貯		zhù
馧		wò
駸		qīn
蔔		bo
鳤		guǎn
籠		lóng
菢		bào
菉		lù
鹯		zhān
飭		chì
矞		yù
芖		zhì
鄦		xǔ
虯		qiú
頃		qǐng
篸		zān
郋		xí
觖	dissatisfied	jué
檑	logs rolled down in defense of city	léi
搋		chuāi
賲		bǎo
訚		yín
鲝		zhǎ
購		gòu
趩		chì
鱾		jǐ
黉		hóng
阛		huán
袚		bō
钁		jué
艆		láng
觜	(zodiacal sign), mouth	zī/zuǐ
縡		zài
譢		suì
靣		miàn
縫		féng
筰		zuó
茺		chōng
綠		lǜ
镈		bó
鲯		qí
睊		juàn
謺		zhé
哜	sip	jì
鄜		fū
褧		jiǒng
蹤		zōng
溻		tā
碕		qī
餖		dòu
絛		tāo
哕		yuě
衒		xuàn
螀		jiāng
禘		dì
餈		cí
郐	(surname)/name of a feudal state	kuài
贠		yuán
鲊		zhǎ
袃		chài
藛		xiě
笇		suàn
廒	granary	áo
瀹	cleanse/to boil	yuè
粣		cè
賨		cóng
睆		huǎn
鑨		lóng
繐		suì
軿		pēng
蓠	Gracilaria confervoides	lí
洚	flood	jiàng
隃		yú
砢		luǒ
剞	curved wood graver	jī
辵		chuò
鐏		zūn
詣		yì
揲	sort out divining stalks	shé/dié
滗		bì
遊		yóu
秵		yīn
軸		zhóu
痖		yǎ
碼		mǎ
鎌		lián
鬏		jiū
镚		bèng
踦		jī
覗		sì
財		cái
赗		fèng
菴		yǎn
笟		gū
遡		sù
鄰		lín
蓰	(grass)/increase five fold	xǐ
眥		zì
祔		fù
鯕		qí
跓		zhù
䞍		
箢		yuān
褋		dié
翃		hóng
鋼		gāng
砲		pào
糈	official pay/sacrificial rice	xǔ
編		biān
臎		cuì
罶		liǔ
镲		chǎ
蒇	complete/prepare	chǎn
麨		chǎo
蔣		jiǎng
蚢		háng
絃		xuàn
轵	end of axle outside of hub	zhǐ
親		qīn
稖		bàng
唪	recite/chant	fěng
魾		pī
齮		yǐ
韥		dú
筅	bamboo brush for utensils	xiǎn
禑		wú
睪		yì
髳		máo
茷		pèi
袠		zhì
賮		jìn
醿		mí
諥		zhòng
驀		mò
邅		zhān
銷		xiāo
簾		lián
䝼		
蛯		lǎo
蹾		dūn
彡		sān
褯		jiè
鲣	bonito	jiān
稃		fū
綖		yán
逌		yōu
瞼		jiǎn
鮻		suō
禦		yù
蜺		ní
䌷		
粩		lāo
眰		diè
襢		tǎn
鉏		chú
遝		tà
鲒	oyster	jié
礡		bó
蒼		cāng
雔		chóu
猃	long-snout dog	xiǎn
鈧		kàng
艈		uu
驟		zhòu
頠		wěi
祪		guǐ
仉	mother/surname of Mencius	zhǎng
龜		guī
粺		bài
茝		zhǐ
釘		dìng
緛		ruǎn
麐		lín
蒷		yún
頍		kuǐ
纘		zuǎn
鞓		tīng
铥	thulium	diū
舊		jiù
脅		xié
龤		xié
訂		dìng
轘		huán
苿		wèi
鉅		jù
睞		lài
麃		biāo
襍		zá
袑		shào
胵		zhì
醨		lí
醜		chǒu
觝		zhǐ
蝟		wèi
韲		jī
錞		duì
穊		jì
鼢	(mole)	fén
锽		huáng
鴫		tián
鬛		liè
翫		wàn
蓇		gū
蝘		yǎn
襕		lán
箠		chuí
聴		tīng
飖		yáo
監		jiān
阓		huì
掎	drag	jǐ
艞		yào
瘼	distress/sickness	mò
鱥		guì
霚		wù
腙		zōng
眳		míng
蝿		yíng
肅		sù
蟬		chán
劐		huō
钷		pǒ
飩		tún
饑		qí
踐		jiàn
髣		fǎng
栝	Juniperus chinensis/measuring-frame	guā
鏰		bèng
笹		xiǎo
蟭		jiāo
鲄		gě
讕		lán
袥		tuō
骟	to geld	shàn
陞		shēng
鰪		é
酴	yeast	tú
矔		guàn
酂		zàn
駵		liú
鸂		xī
緒		xù
髒		zāng
仳	to part	pǐ
麆		zhù
膵		cuì
趥		qiū
麜		lì
隄		dī
謦		qǐng
鼱		jīng
鶺		jí
聠		píng
袉		tuó
稅		shuì
軅		yàn
縿		xiān
翀		chōng
莛	stalk of grass	tíng
綎		tīng
碻		qiāo
鳰		rù
蕗		lù
膭		guī
筢		pá
蒾		mí
袞		gǔn
蛣		jié
楱		còu
菵		wǎng
鷃		yàn
貨		huò
鏘		qiāng
覅		fiao
鷧		yì
鍊		liàn
麀		yōu
藬		tuī
鳣		zhān
陙		chún
粐		hù
蔲		kòu
鴃		guī
驌		sù
鈣		gài
膕		guó
鹍		kūn
辒		wēn
隂		yìn
絺		zhǐ
麊		mí
腪		yùn
緌		ruí
縕		wēn
顆		kē
蓡		shēn
鈾		yóu
蕝		jué
鮨		yì
芃		péng
佧	ancient name for a minority group in China	kǎ
諝		xū
賀		hè
睠		juàn
閺		wén
葍		fú
睖		lèng
葻		lán
襱		lóng
镘	side of coin without words/trowel	màn
鷱		gāo
麯		qū
蝺		yǔ
蚘		yóu
蟻		yǐ
翂		fēn
缲		qiāo
秔		jīng
藧		huàn
硙		wèi
詧		qiè
禫		dàn
麉		jiān
葯		yào
跅		tuò
眹		zhèn
誥		gào
薋		zī
輋		shē
餅		bǐng
菆		zōu
袵		rèn
競		jìng
粏		tài
齊		qí
鶜		máo
雟		guī
脦		tè
觿		wéi
葹		shī
釀		niàng
茊		zī
聦		cōng
筼		yún
顝		kuǎ
齄		zhā
驘		luó
綼		bì
袀		jūn
覍		biàn
鱣		shàn
鐇		fán
鷥		sī
螕		bī
繨		dá
鋐		hóng
鈱		mín
锳		yīng
頌		sòng
軐		xiàn
菫		jǐn
頰		jiá
铔		yā
貍		mái
鐵		tiě
籓		bān
猸		méi
鈍		dùn
禠		sī
鯙		chún
苠	multitude/skin of bamboo	mín
蹷		jué
瞆		guì
醲		nóng
褲		kù
粦		lín
頎		kěn
輪		lún
鮼		qīn
铻		wú
酦		pō
鑟		dú
磫		zōng
衂		nǜ
絫		lěi
詿		guà
邘		yú
稂	grass/weeds	láng
蓺		yì
顑		yàn
踘		jū
铽	terbium	tè
豈		qǐ
鮁		bà
袿		guī
蒉	(surname)/Amaranthus mangostanus	kuì
詝		zhǔ
邉		biān
鴨		yā
脝		hēng
訌		hòng
臢		zā
鹓		yuān
臇		juǎn
鄘		yōng
鏏		wèi
蜔		diàn
眆		fǎng
餦		zhāng
糵		niè
趧		tí
酾		shāi
詥		gé
鴦		yāng
盦		ān
遷		qiān
苧		zhù
釛		bá
菒		gǎo
跉		líng
筊		jiǎo
隸		lì
綿		mián
脶		luó
褱		huái
閗		dòu
鷹		yīng
掭		tiàn
磥		léi
裯		dāo
矰		zēng
臋		tún
鄤		wàn
繺		shā
頨		yǔ
蒞		lì
鄠		hù
飔		sī
葞		mǐ
鍦		shī
禜		yǒng
綍		fú
鰠		sāo
禣		fù
蠶		cán
鲼		fèn
箇		gè
譟		zào
耈		gǒu
雚		guàn
訛		é
茣		wú
粊		bǐ
粍		zhé
詤		huǎng
紮		zā
駕		jià
詠		yǒng
紛		fēn
額		é
箾		xiāo
蓯		zǒng
齋		zhāi
艦		jiàn
鵲		què
颼		sōu
綈		tí
簷		yán
襲		xí
醾		mí
詼		huī
閻		yán
篰		bù
艷		yàn
秱		tóng
磜		qì
祮		gào
簻		kē
躍		yuè
諆		qī
霧		wù
訝		yà
遙		yáo
轪		dài
郈		hòu
䦆		
緯		wěi
錫		xī
藗		sù
罋		wèng
鶄		qīng
絏		yì
趦		zī
闒		tà
蹔		zàn
郞		láng
羺		nóu
觼		jué
蓞		uu
髿		suō
訕		shàn
禬		guì
込		rù
帱	canopy/curtain, canopy	chóu/dào
譓		huì
餱		hóu
盜		dào
薦		jiàn
郪		qī
毳	crisp/brittle/fine animal hair	cuì
荄		gāi
迺		nǎi
褵		lí
镥		lǔ
韌		rèn
謱		lóu
築		zhù
鶝		bì
鴪		yù
頵		yūn
矝		qín
豎		shù
钶	columbium	kē
迏		dá
顫		chàn
瞫		shěn
薢		xiè
絙		gēng
鮍		pī
鍛		duàn
螣		tè
藷		zhū
蠻		mán
踺		jiàn
莿		cì
襆		pú
軎		wèi
篲		huì
蝀		dōng
痄	mumps	zhà
籐		téng
脧		juān
紗		shā
矅		yào
踆		qūn
葦		wěi
冁	smilingly	chǎn
鷲		jiù
瓞	young melon	dié
鶒		chì
紩		zhì
耢		lào
脰		dòu
蓂		mì
鴣		gū
霮		dàn
酁		chán
苙		lì
訪		fǎng
粭		hé
軈		yīng
艐		kè
鈇		fū
螞		mǎ
毹	rug	shū
睄		qiáo
纄		péng
柃	Eurya japonica	líng
驙		zhān
韺		yīng
裲		liǎng
霳		lóng
臐		xūn
鷣		yín
蛷		qiú
繟		chán
颋		tǐng
稛		kǔn
鲹		shēn
簢		mǐn
鵀		rén
穻		yū
鬋		jiǎn
豀		xī
顬		rú
骒	mother horse	kè
闀		hòng
飼		sì
闄		yǎo
脺		cuì
齏		jī
賹		ài
譜		pǔ
軒		xuān
醰		tán
糢		mó
鲗		zéi
鞚		kòng
㧟		
罷		bà
祦		wú
笖		yǐ
糰		tuán
笧		shàn
窔		yào
麖		jīng
祋		duì
紃		xún
碃		qìng
沲		duò
磡		kàn
腽	castor	wà
鑕		zhì
箯		biān
邇		ěr
鋾		táo
跊		mèi
翬		huī
菂		dì
膲		jiāo
籌		chóu
艴	angry	fú
絿		qiú
镤	protoactinium	pú
隤		tuí
踧		dí
鈶		cí
紵		zhù
沩		wéi
藙		yì
镦	upsetting (forged pieces)	dūn/duì
翜		shà
閯		shà
鄳		méng
盝		lù
蠾		zhú
礄		qiáo
駝		tuó
戤	infringe upon a trade mark	gài
諄		zhūn
胊		qú
鶗		tí
膰		pán
苘		qǐng
脷		lì
紖		zhèn
臓		zàng
讏		wèi
賢		xián
辌		liáng
竚		zhù
纕		xiāng
閛		pēng
禃		zhí
顪		huì
翐		zhì
鈿		diàn
鼈		biē
蜑		dàn
蠆		chài
藠		jiào
薾		ěr
鰹		jiān
鄶		kuài
茚		yìn
蟓		xiàng
裀		yīn
麣		yán
蕂		shèng
禱		dǎo
鋊		yù
篤		dǔ
衋		xì
袐		bì
鶟		tú
竝		bìng
铞		diào
讱		rèn
耎		nuò
鯡		fēi
誳		juè
苽		gū
轝		yù
袨		xuàn
繑		juē
鞎		hén
闃		qù
矚		zhǔ
馉		gǔ
肻		kěn
鄫		zēng
鼞		tāng
蒃		zhuàn
糴		dí
鸀		zhú
肊		yǐ
螤		zhōng
赪		chēng
賜		cì
窾		kuǎn
鰷		tiáo
蟿		jì
菭		tái
軃		tuǒ
鄧		dèng
鉐		shí
鴟		chī
篼		dōu
繉		hún
矎		xuān
脎		sà
楗	door lock	jiàn
罵		mà
鬖		sān
鼇		áo
綵		cǎi
艧		wò
髠		kūn
箘		jùn
镵		chán
絾		chéng
箽		dǒng
笗		dōng
鴮		wū
緻		zhì
蛻		tuì
綟		lì
蝹		ǎo
駹		máng
糦		xī
錐		zhuī
鴧		yù
誴		cóng
虗		xū
跘		bàn
蜎		yuān
簺		sài
聰		cōng
緺		guā
肙		yuàn
窌		pào
盕		fàn
鸼		diǎo
胔		zì
鲾		bī
駛		shǐ
齛		xiè
絹		juàn
鍮		tōu
謏		xiǎo
擗		pǐ
鏦		cōng
騙		piàn
蜌		bì
苶		niè
蠙		bīn
騺		zhì
聧		kuī
顳		niè
鱉		biē
簜		dàng
䦶		
矡		jué
肞		chā
莚		yán
聺		qié
鶫		dōng
麎		chén
纑		lú
薀		wēn
鮰		huí
骳		bèi
矊		mián
録		lù
鏂		ōu
龒		máng
鍎		tú
績		jī
罍		léi
鋻		jiān
繒		zēng
鄿		jī
鬐		qí
虀		jī
韱		xiān
篴		dí
脻		jiē
袔		kè
豭		jiā
踫		pán
艕		bàng
骫		wěi
艤		yǐ
郵		yóu
誠		chéng
鉃		shì
纴		rèn
飆		biāo
詻		è
矙		kàn
縩		cài
萊		lái
鍍		dù
趮		zào
鶲		wēng
鍧		hōng
藇		yǔ
舣	moor a boat to the bank	yǐ
髥		rán
鹐		qiān
觽		wéi
窊		wā
繌		shǎ
趬		qiāo
荬		mǎi
釡		fǔ
脜		yǒu
筽		o
鼰		jú
転		zhuǎn
筻		gàng
袇		rán
謪		shāng
酨		zài
韈		wà
訟		sòng
鄛		cháo
闚		kuī
鳛		xí
麧		hé
蓵		jié
齽		jìn
髼		péng
艜		dài
蝝		yuān
緷		yùn
虰		dīng
郀		kū
醑	spiritus/strain spirits	xǔ
馮		féng
譔		quán
漤		lǎn
鏉		shòu
騎		qí
鄷		fēng
鯋		shā
闕		què
籂		shì
鶡		hé
詮		quán
軠		kuáng
齣		chū
蹣		pán
藍		lán
締		dì
謬		miù
眜		mò
螚		nái
磦		piāo
窼		kē
竏		qiān
願		yuàn
鋸		jù
筈		kuò
雊		gòu
蠔		háo
穫		hù
哳		zhā
譯		yì
黡		yǎn
蛡		yì
蓨		tiáo
蘿		luó
鳠		hù
閭		lǘ
諓		jiàn
硽		yān
窅		yǎo
餵		wèi
鞧		qiū
韗		yùn
訋		diào
靭		rèn
脼		lǎng
踖		jí
罁		gāng
骍		xīng
簃		yí
臛		huò
虖		hū
頹		tuí
餁		rèn
蔥		cōng
磈		wěi
籆		yuè
譃		xū
阢		wù
礜		yù
鮋		yóu
贈		zèng
顎		è
齺		zōu
盫		ān
軙		qí
蠷		qú
驎		lín
袗		zhěn
耰		yōu
鷇		kòu
絟		quán
筭		suàn
秲		zhì
聟		xù
繙		fán
莻		neus
褏		yòu
覐		jiào
翣		shà
蓾		lǔ
蹽		liāo
鍼		qián
鬑		lián
縢		téng
譁		wá
粷		jú
輈		zhōu
裏		
駳		dàn
軡		qián
鞦		qiū
矘		tǎng
罈		tán
眖		kuàng
聜		dǐ
祻		gù
葘		zī
鴲		zhī
钖		yáng
酀		yǎn
軆		tī
飐		zhǎn
祃		mà
羅		luó
鄡		qiāo
鑛		kuàng
黇		tiān
貤		yí
稭		jiē
絨		róng
鳾		shi
硈		qià
詯		huì
闢		pì
襬		bǎi
軛		è
鎪		sōu
臞		qú
禥		qí
鰟		páng
蛬		qióng
陼		dǔ
荖		lǎo
騽		xí
陗		qiào
萗		cè
蕌		lěi
窪		wā
翯		hè
謧		lí
驊		huá
霫		xí
圊	pigsty/rest-room	qīng
簼		gōu
鎖		suǒ
瞐		mò
襶		dài
鷷		zūn
詟		zhé
礨		lěi
胾		zì
蜨		dié
譄		zēng
礈		zhuì
螁		bān
骹		jiāo
阤		yǐ
趙		zhào
聣		uu
緜		mián
鳒		jiān
矄		xūn
綑		kǔn
簥		jiāo
鯏		lí
魱		hú
紏		tǒu
蚖		wán
鮾		něi
脛		jìng
鷭		fán
苲		zhǎ
軉		yù
藘		lǘ
脙		xiū
蹱		zhōng
袦		nà
譽		yù
鴐		gē
臮		jì
詫		dù
蚈		qiān
磿		lì
簍		lǒu
耥		tāng
羇		jī
龑		yan
釢		nǎi
鼤		wén
餃		jiǎo
醃		yān
銶		qiú
墚		liáng
窮		qióng
礋		zé
瞷		jiàn
胑		zhī
驄		cōng
盻		pǎn
褦		nài
鴼		lù
麡		qí
臘		là
砮		nú
鯚		jì
魖		xū
盩		zhōu
葢		gài
腗		pí
屺	hill without trees	qǐ
鶃		yì
犏		piān
砛		jīn
藦		mò
褹		yì
鴷		lie
衼		zhī
搌	bind/wipe	zhǎn
禢		tà
鴾		móu
醖		yùn
顓		zhuān
韂		chàn
籲		yù
瞕		zhàng
馳		chí
粴		lǐ
鐰		qiāo
鞗		tiáo
齆		wèng
詵		shēn
蠭		páng
訃		fù
眅		pān
鏕		áo
稆		lǚ
籇		háo
輩		bèi
賰		chǔn
祲		jìn
辭		cí
輴		chūn
苼		shēng
盞		zhǎn
藝		yì
鍸		hú
遜		xùn
肣		hán
膼		zhuā
籄		kuì
翚		huī
饏		dàn
磳		zēng
脨		jí
鍑		fù
詬		gòu
竄		cuàn
䲡		
袌		bào
箣		cè
覂		bǎn
塥	dry clay lump	gé
饤		dìng
銑		xǐ
簕		lè
諮		zī
藣		bēi
鯂		sū
貋		àn
鋅		xīn
鯅		shān
繳		jiǎo
碦		kè
鈴		líng
驢		lǘ
釱		dì
鏢		biāo
簫		xiāo
籜		tuò
鑄		zhù
縁		yuán
箥		bǒ
蟯		náo
笣		bāo
鐖		jī
貑		jiā
輖		zhōu
虈		xiāo
籔		shǔ
迆		tuó
鋭		duì
藶		lì
鈙		qín
鐨		fèi
蠥		niè
頺		tuí
鱽		dāo
訅		qiú
觭		jī
簬		lù
诇		xiòng
茢		liè
詰		jié
髪		fā
翑		yù
鮌		gǔn
鶆		lái
臿		chā
粛		sù
鎋		xiá
祿		lù
襪		wà
銊		huì
齦		yín
緼		wēn
踥		qiè
蔞		lóu
輝		huī
釠		luàn
鴓		bì
飳		tǒu
繚		liáo
臄		jū
鑱		chán
腨		shuàn
鳳		fèng
糂		sān
莊		zhuāng
陝		shǎn
翆		cuì
罯		ǎn
謨		mó
鸴		xué
稸		xù
騫		qiān
硄		guāng
譻		yīng
罆		guàn
駉		jiōng
粻		zhāng
詨		xiào
漭	vast/expansive (of water)	mǎng
銦		yīn
駡		mà
磩		qì
饈		xiū
駃		kuài
餚		yáo
轕		gé
隺		hè
糱		niè
縂		zǒng
耴		yì
誡		jiè
蓸		cáo
訑		yí
蔘		shēn
鑀		ài
覙		zhěn
睙		liè
鈺		yù
蘘		xiāng
賞		shǎng
磭		chuò
驡		lóng
鯵		shēn
窇		báo
騛		fēi
羀		liǔ
覓		mì
蕘		yáo
顔		yá
鴉		yā
贂		chěn
鼊		bì
鶢		yuán
緗		xiāng
蜪		táo
蒻		ruò
茽		zhòng
袕		xué
邼		kuāng
禤		xuān
鷳		xián
鳂		wēi
鉂		shǐ
盽		fēng
詭		guǐ
膴		wǔ
盌		wǎn
醼		yàn
繬		sè
缷		xiè
躘		lóng
醄		táo
貛		huān
苃		yǒu
牿	shed or pen for cattle	gù
黿		yuán
簯		qǐ
駷		sǒng
秢		líng
郘		lǚ
靮		dí
秙		kù
篬		qiāng
䴕		
贉		dàn
裩		kūn
錈		juǎn
鞏		gǒng
纒		chán
薔		qiáng
纃		qí
韼		péng
髕		bìn
盠		lí
綡		liáng
館		guǎn
縋		zhuì
輰		yáng
竒		qí
䶮		
韨		fú
鶊		gēng
磑		wèi
訆		jiào
䴓		
緹		tí
荘		zhuāng
誰		shuí
趶		wū
蔊		hǎn
膥		cēn
铹	lawrencium	láo
髴		fèi
詒		yí
跰		bèng
訽		gòu
脵		gǔ
睧		hūn
眏		yāng
銘		míng
緲		miǎo
虙		fú
鈉		nà
釟		bā
粶		lù
裋		shù
蝕		shí
萵		wō
騼		lù
魜		rén
䴖		
縞		gǎo
鶸		ruò
鑷		niè
鴻		hóng
閬		láng
趷		kē
蔴		má
祘		suàn
蓛		cè
䲟		
纗		zuī
齗		yǎn
鼫		shí
鐧		jiān
麅		páo
裛		yì
稌		tú
鞝		zhǎng
鏻		lín
莵		tù
蹌		qiāng
窎		diào
褎		yòu
稬		nuò
鏆		guàn
鯛		diāo
跱		zhì
鵂		xiū
礀		jiàn
紋		wén
鰧		teng
艎		huáng
蠣		lì
逕		jìng
鯁		gěng
褌		kūn
訏		xǔ
鶚		è
裓		gé
蹆		tuǐ
蚑		qí
鲬		yǒng
穃		ròng
韽		ān
誕		dàn
鱻		xiān
邁		mài
蕳		jiān
雑		zá
鷿		pì
臖		xìng
鏱		zhāng
矟		shuò
瞂		fá
駐		zhù
坶		mǔ
錣		zhuì
閿		wén
秌		qiū
菕		lún
轋		hún
繤		zuǎn
穜		tóng
鰫		yóng
肍		qiú
祅		yāo
鬿		qí
禭		suì
膱		zhí
贁		bài
讈		lì
鏤		lòu
餉		xiǎng
騷		sāo
詸		mí
霤		liù
筶		gǎo
鎔		róng
鈰		shì
頞		è
鶳		shī
蠈		zéi
蕼		sì
繞		rào
籒		zhòu
秶		zī
茍		jì
籞		yù
騁		chěng
県		xiàn
貎		ní
盿		mín
鋋		chán
盳		wàng
鼜		qì
阸		è
鏭		xī
迒		háng
藫		tán
糉		zòng
蕁		tán
譫		zhān
蛢		píng
轂		gū
蹹		tá
蘁		è
賄		huì
禮		lǐ
竷		kǎn
稲		dào
繕		shàn
錃		pī
閾		yù
釣		diào
繆		miào
鼏		mì
繧		yún
鉔		zā
碸		fēng
盨		xǔ
鞖		suī
蚒		tóng
鸁		luó
藖		qiān
鋤		chú
瞵		lín
磚		zhuān
硣		xiāo
顛		diān
篃		mèi
覈		hé
镃		zī
饟		xiǎng
蠎		mǎng
鋫		lí
跔		jū
諱		huì
齢		líng
莢		jiá
鏐		liáo
麞		zhāng
緄		gǔn
霩		kuò
覥		tiǎn
頤		yí
轇		jiāo
鑢		lǜ
饜		yàn
頒		bān
縷		lǚ
磃		tí
頷		hàn
陜		xiá
縼		xuàn
黋		kuàng
盬		gǔ
聵		kuì
鐳		léi
稧		qiè
蜐		jié
鍤		chā
礘		è
蓷		tuī
鰤		shī
鍔		è
輿		yú
磹		diàn
鴰		guā
騠		tí
鱗		lín
鬶		guī
鑽		zuàn
鄮		mào
錨		máo
趯		yuè
賓		bīn
綶		guǒ
䦂		
襫		shì
饅		mán
綂		tǒng
钑		xì
禡		mà
貲		zī
纉		zuǎn
鬚		xū
辁	small/wheel without spokes	quán
鹖		hé
紓		shū
諏		zhōu
蒟		jǔ
秹		rěn
鱂		jiāng
飸		tāo
蠄		qín
羈		jī
藢		zhǐ
鐄		huáng
鑣		biāo
籶		shēn
謥		còng
軷		bá
鷫		sù
鵟		kuáng
碔		wǔ
餆		yáo
貿		mào
聝		guó
鑾		luán
踴		yǒng
礱		lóng
訣		jué
芵		jué
霠		yīn
礮		pào
绤		xì
鏁		suǒ
諛		yú
逤		suò
粓		gān
眃		yún
貫		guàn
葖		tū
趤		dàng
蠜		fán
絞		jiǎo
蔙		xuàn
鹙		qiū
躶		luǒ
艊		bó
粖		mò
骾		gěng
瞣		huàn
磸		dìng
耡		chú
訔		yín
銙		kuǎ
齯		ní
鲓		kào
袽		rú
絶		jué
褣		róng
鴜		cí
蟼		jǐng
禩		sì
詇		yàng
鍳		jiàn
蜽		liǎng
蕋		juǎn
蹞		kuǐ
蓕		guì
錥		yù
酳		yìn
藑		qióng
鎴		xí
衟		dào
眕		zhěn
貣		tè
穵		yà
赑		bì
睍		xiàn
艭		shuāng
諈		zhuì
鄺		kuàng
籣		lán
蒁		shù
裶		fēi
繀		cuǐ
舦		tài
輻		fú
飰		fàn
餇		tóng
篛		nà
筥		jǔ
辢		là
穙		pú
鑵		guàn
醻		shòu
譅		sè
貮		èr
萈		huán
藯		wèi
鯀		gǔn
蓗		zǒng
垲	dry terrain	kǎi
繯		huán
緅		zōu
艩		qí
蒄		guān
鋺		yuān
繃		bēng
纀		pú
怊		chāo
鷖		yī
肸		bì
鬙		sēng
罥		juàn
穄		jì
鐤		dǐng
鈪		ngag
蔿		wěi
聸		dān
蓱		píng
薝		zhān
藺		lìn
譌		é
韍		fú
鰌		qiū
羕		yàng
趡		wěi
霣		yǔn
鑊		huò
醱		pō
韆		qiān
谻		jí
葨		wēi
蚾		bǒ
軏		yuè
踸		chěn
繴		bì
簘		xiāo
羉		luán
鞄		páo
醥		piǎo
貗		yú
醎		jiǎn
菞		lí
荳		dòu
骻		kuà
靃		huò
裺		ān
駞		tuó
蛖		bàng
羵		fén
莁		wú
釭		gāng
諧		xié
篺		pí
繣		huà
豠		chú
釪		yú
鷁		yì
矺		dā
蝨		shī
虋		mén
鍓		jí
蹳		bō
豗		huī
莂		bié
膄		shòu
詐		zhà
薃		hào
閔		mǐn
衕		dòng
紣		zú
蚿		xián
腵		jiā
邌		lí
垌		dòng
雋		jùn
巛		chuān
磞		pēng
鹒		gēng
簠		fǔ
秠		pī
尜		gá
輀		ér
詗		xiòng
艶		yàn
禔		zhī
羜		zhù
碠		dìng
轥		lìn
矂		sào
篳		bì
耑		zhuān
蕧		fù
菄		dōng
釔		yǐ
緍		mǐn
躿		kāng
鯶		huàn
篭		lóng
襖		ǎo
罙		mí
鎍		sè
鼅		zhī
谽		hān
膋		liáo
蹧		zāo
鯈		tiáo
蒈		kǎi
繖		sǎn
薠		fán
鸧		qiāng
跾		chōu
闍		dū
蕟		fà
蜆		xiǎn
鋎		hàn
腃		quān
鯬		lí
瞜		lǘ
遈		shí
驈		yù
縆		gēng
蠏		xiè
鍟		shēng
紾		tiǎn
髲		bì
矀		méi
膪		chuài
誇		kuā
秊		
翈		xiá
艫		lú
鎸		juān
茿		zhú
螥		cāng
賱		yùn
螑		xiù
臕		biāo
蝍		jí
鯩		lún
逷		tì
蟜		jiǎo
襛		nóng
銌		zùn
紻		yǎng
酼		hǎi
誻		tà
緐		fán
鵄		chī
赲		lì
祤		yǔ
覇		bà
誾		yín
隩		yù
綹		liǔ
郟		jiá
鴹		yáng
聫		lián
窯		yáo
礒		yǐ
迋		wàng
踃		qiào
閧		hòng
鰰		shén
龔		gōng
鄟		zhuān
豧		fū
膗		chuái
鬽		mèi
颩		diāo
簑		suī
